manual_transcript,source,path
我想点播林宥嘉的《无言的爱》,music,/home/v2129375/dataset/tts_audio/audio_0031.wav
我想点播电视剧《小白兔》。,video,/home/v2129375/dataset/tts_audio/audio_0032.wav
我想看李茶的姑妈的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0033.wav
我想点播罗时丰的音乐,music,/home/v2129375/dataset/tts_audio/audio_0034.wav
我想看黑山匪帮的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0035.wav
我想看电视剧淡淡哀愁,video,/home/v2129375/dataset/tts_audio/audio_0036.wav
松原的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0037.wav
我想听德国战车的音乐,music,/home/v2129375/dataset/tts_audio/audio_0038.wav
海北州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0039.wav
扬州市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0040.wav
我想点播杨峻荣的音乐,music,/home/v2129375/dataset/tts_audio/audio_0041.wav
赣州市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0042.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0043.wav
惠州市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0044.wav
我想看陆军野战医院的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0045.wav
日喀则市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0046.wav
我想看无名之辈的电影,video,/home/v2129375/dataset/tts_audio/audio_0047.wav
长春的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0048.wav
我想点播《速度与激情六》,video,/home/v2129375/dataset/tts_audio/audio_0049.wav
我想点播吴倩莲的音乐,music,/home/v2129375/dataset/tts_audio/audio_0050.wav
我想听钟洁的音乐,music,/home/v2129375/dataset/tts_audio/audio_0051.wav
我想点播电视剧相依为命,video,/home/v2129375/dataset/tts_audio/audio_0052.wav
我想点播小二郎的电视剧,video,/home/v2129375/dataset/tts_audio/audio_0053.wav
我想点播电视剧《小花仙》。,video,/home/v2129375/dataset/tts_audio/audio_0054.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0055.wav
我想看电视剧倚天屠龙记,video,/home/v2129375/dataset/tts_audio/audio_0056.wav
临沧市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0057.wav
我想点播芭比娃娃的电影。,video,/home/v2129375/dataset/tts_audio/audio_0058.wav
六盘水市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0059.wav
我想点播电视剧西区故事,video,/home/v2129375/dataset/tts_audio/audio_0060.wav
池州市今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0061.wav
我想看电影《美人鱼》。,video,/home/v2129375/dataset/tts_audio/audio_0062.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0063.wav
我想点播潘玮柏的弦子,music,/home/v2129375/dataset/tts_audio/audio_0064.wav
我想点播电视剧汪汪队立大功,video,/home/v2129375/dataset/tts_audio/audio_0065.wav
我想看电视剧女神有药,video,/home/v2129375/dataset/tts_audio/audio_0066.wav
巴彦淖尔市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0067.wav
昆明的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0068.wav
我想点播五轮真弓,music,/home/v2129375/dataset/tts_audio/audio_0069.wav
文山州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0070.wav
我想看城市之光的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0071.wav
我想点播杨世瀚的音乐,music,/home/v2129375/dataset/tts_audio/audio_0072.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0073.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0074.wav
怀化的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0075.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0076.wav
我想看张大千的纪录片,video,/home/v2129375/dataset/tts_audio/audio_0077.wav
我想看青蛙总动员的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0078.wav
泰州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0079.wav
珠海今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0080.wav
德州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0081.wav
我想点播电视剧《天神之国》。,video,/home/v2129375/dataset/tts_audio/audio_0082.wav
自贡的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0083.wav
桃园市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0084.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0085.wav
黄南州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0086.wav
我想点播张德豪的音乐,music,/home/v2129375/dataset/tts_audio/audio_0087.wav
南京今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0088.wav
德州市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0089.wav
我想点播金京浩的音乐,music,/home/v2129375/dataset/tts_audio/audio_0090.wav
新竹天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0091.wav
九江的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0092.wav
我想点播田馥甄的音乐,music,/home/v2129375/dataset/tts_audio/audio_0093.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0094.wav
我想看郑培民的电视剧,video,/home/v2129375/dataset/tts_audio/audio_0095.wav
我想点播电视剧阿唐奇遇,video,/home/v2129375/dataset/tts_audio/audio_0096.wav
我想看电视剧巴顿将军,video,/home/v2129375/dataset/tts_audio/audio_0097.wav
我想点播海贼王。,video,/home/v2129375/dataset/tts_audio/audio_0098.wav
我想点播《万圣节》视频。,video,/home/v2129375/dataset/tts_audio/audio_0099.wav
黔南布依族自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0100.wav
我想点播六仔的音乐,music,/home/v2129375/dataset/tts_audio/audio_0101.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0102.wav
我想点播电视剧《爱的解脱》。,video,/home/v2129375/dataset/tts_audio/audio_0103.wav
武汉市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0104.wav
我想点播高原红,music,/home/v2129375/dataset/tts_audio/audio_0105.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0106.wav
大阪的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0107.wav
庆阳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0108.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0109.wav
乌鲁木齐市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0110.wav
我想看电影血染,video,/home/v2129375/dataset/tts_audio/audio_0111.wav
珠海市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0112.wav
我想点播电视剧《公主》。,video,/home/v2129375/dataset/tts_audio/audio_0113.wav
晋中市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0114.wav
我想点播张碧晨的《无言的爱》,music,/home/v2129375/dataset/tts_audio/audio_0115.wav
西宁的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0116.wav
我想点播秘密森林。,video,/home/v2129375/dataset/tts_audio/audio_0117.wav
我想点播黄婉秋的音乐,music,/home/v2129375/dataset/tts_audio/audio_0118.wav
迪庆藏族自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0119.wav
我想点播悟空的音乐,music,/home/v2129375/dataset/tts_audio/audio_0120.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0121.wav
宿州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0122.wav
我想听巴赫的圣诞序曲,music,/home/v2129375/dataset/tts_audio/audio_0123.wav
我想看电视剧手指运动,video,/home/v2129375/dataset/tts_audio/audio_0124.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0125.wav
攀枝花天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0126.wav
我想点播彼得兔的电影。,video,/home/v2129375/dataset/tts_audio/audio_0127.wav
我想点播五四零四五,music,/home/v2129375/dataset/tts_audio/audio_0128.wav
百色市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0129.wav
我想点播菜菜的音乐,music,/home/v2129375/dataset/tts_audio/audio_0130.wav
我想点播电视剧《摩登时代》。,video,/home/v2129375/dataset/tts_audio/audio_0131.wav
香港今天的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0132.wav
巴音郭楞蒙古自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0133.wav
我想点播电视剧《父子雄兵》。,video,/home/v2129375/dataset/tts_audio/audio_0134.wav
玉树自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0135.wav
我想看点播视频葫芦娃,video,/home/v2129375/dataset/tts_audio/audio_0136.wav
我想点播一零二二女声的音乐。,music,/home/v2129375/dataset/tts_audio/audio_0137.wav
我想点播林俊杰怀秋,music,/home/v2129375/dataset/tts_audio/audio_0138.wav
我想点播电视剧与狼共舞,video,/home/v2129375/dataset/tts_audio/audio_0139.wav
我想点播高晓松的《我爱你》,music,/home/v2129375/dataset/tts_audio/audio_0140.wav
黑河的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0141.wav
我想点播杨朗朗的音乐,music,/home/v2129375/dataset/tts_audio/audio_0142.wav
我想点播谭维维的《我爱你》,music,/home/v2129375/dataset/tts_audio/audio_0143.wav
七台河市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0144.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0145.wav
南通今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0146.wav
我想点播屠洪刚的音乐,music,/home/v2129375/dataset/tts_audio/audio_0147.wav
我想点播贾乃亮的歌曲,music,/home/v2129375/dataset/tts_audio/audio_0148.wav
天水的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0149.wav
我想点播电视剧椰子革命,video,/home/v2129375/dataset/tts_audio/audio_0150.wav
我想点播电视剧聪明的一休,video,/home/v2129375/dataset/tts_audio/audio_0151.wav
亳州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0152.wav
我想点播郁可唯的《无言的爱》,music,/home/v2129375/dataset/tts_audio/audio_0153.wav
我想点播蒋大为的音乐,music,/home/v2129375/dataset/tts_audio/audio_0154.wav
漳州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0155.wav
我想点播赵天鸽的音乐,music,/home/v2129375/dataset/tts_audio/audio_0156.wav
我想点播电视剧《巨人》。,video,/home/v2129375/dataset/tts_audio/audio_0157.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0158.wav
我想点播昂贵的牙医的剧集,video,/home/v2129375/dataset/tts_audio/audio_0159.wav
江门市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0160.wav
西双版纳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0161.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0162.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0163.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0164.wav
我想看狂犬战神的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0165.wav
我想看电视剧舌尖上的中国,video,/home/v2129375/dataset/tts_audio/audio_0166.wav
我想看电视剧关山飞渡,video,/home/v2129375/dataset/tts_audio/audio_0167.wav
石家庄市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0168.wav
我想看红色的电影,video,/home/v2129375/dataset/tts_audio/audio_0169.wav
许昌市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0170.wav
海口今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0171.wav
东京的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0172.wav
晋中天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0173.wav
吐鲁番的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0174.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0175.wav
我想点播邓丽君的《春风又绿江南岸》,music,/home/v2129375/dataset/tts_audio/audio_0176.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0177.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0178.wav
我想点播张宇的音乐,music,/home/v2129375/dataset/tts_audio/audio_0179.wav
邵阳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0180.wav
我想点播电视剧阿拉伯的劳伦斯,video,/home/v2129375/dataset/tts_audio/audio_0181.wav
我想看电视剧《法国贩毒网》。,video,/home/v2129375/dataset/tts_audio/audio_0182.wav
武汉的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0183.wav
我想点播宋祖英的音乐,music,/home/v2129375/dataset/tts_audio/audio_0184.wav
我想点播马爱媛的《爱之旅》,music,/home/v2129375/dataset/tts_audio/audio_0185.wav
聊城今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0186.wav
随州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0187.wav
我想看电视剧好久不见,video,/home/v2129375/dataset/tts_audio/audio_0188.wav
淮安的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0189.wav
我想看点播视频消减,video,/home/v2129375/dataset/tts_audio/audio_0190.wav
我想点播简广易的《我爱你》,music,/home/v2129375/dataset/tts_audio/audio_0191.wav
我想看电视剧伪装者,video,/home/v2129375/dataset/tts_audio/audio_0192.wav
湖州的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0193.wav
我想点播上官晓懿常闻迪的音乐,music,/home/v2129375/dataset/tts_audio/audio_0194.wav
张掖的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0195.wav
我想听冷血动物的音乐,music,/home/v2129375/dataset/tts_audio/audio_0196.wav
楚雄州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0197.wav
我想点播中国新歌声的电视剧,video,/home/v2129375/dataset/tts_audio/audio_0198.wav
保定市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0199.wav
我想看点播视频瓢虫雷迪,video,/home/v2129375/dataset/tts_audio/audio_0200.wav
柳州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0201.wav
我想点播孙楠的音乐,music,/home/v2129375/dataset/tts_audio/audio_0202.wav
连云港今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0203.wav
防城港的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0204.wav
阿坝自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0205.wav
我想点播电视剧午夜牛郎,video,/home/v2129375/dataset/tts_audio/audio_0206.wav
我想点播芭比公主的电影。,video,/home/v2129375/dataset/tts_audio/audio_0207.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0208.wav
我想点播豆子民的音乐,music,/home/v2129375/dataset/tts_audio/audio_0209.wav
阿勒泰的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0210.wav
我想看电视剧《我不是药神》。,video,/home/v2129375/dataset/tts_audio/audio_0211.wav
洛阳的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0212.wav
舟山市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0213.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0214.wav
我想看电视剧大头儿子小头爸爸围裙妈妈,video,/home/v2129375/dataset/tts_audio/audio_0215.wav
我想看电视剧宾虚,video,/home/v2129375/dataset/tts_audio/audio_0216.wav
平凉市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0217.wav
南昌的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0218.wav
我想看《欢乐喜剧人》,video,/home/v2129375/dataset/tts_audio/audio_0219.wav
拉萨的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0220.wav
文山壮族苗族自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0221.wav
我想点播电视剧一路有你,video,/home/v2129375/dataset/tts_audio/audio_0222.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0223.wav
我想点播魔幻陀螺,video,/home/v2129375/dataset/tts_audio/audio_0224.wav
我想点播刀郎的音乐,music,/home/v2129375/dataset/tts_audio/audio_0225.wav
贵阳的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0226.wav
吐鲁番市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0227.wav
我想点播电视剧桃色公寓,video,/home/v2129375/dataset/tts_audio/audio_0228.wav
海南自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0229.wav
我想点播电视剧《胜利之歌》。,video,/home/v2129375/dataset/tts_audio/audio_0230.wav
湘西土家族自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0231.wav
我想看白白雪公主和七个小矮人。,video,/home/v2129375/dataset/tts_audio/audio_0232.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0233.wav
我想点播中国音乐之声,video,/home/v2129375/dataset/tts_audio/audio_0234.wav
黔东南州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0235.wav
我想点播老狼的音乐,music,/home/v2129375/dataset/tts_audio/audio_0236.wav
吉林市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0237.wav
保定的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0238.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0239.wav
辽宁省的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0240.wav
我想点播摔跤吧爸爸,video,/home/v2129375/dataset/tts_audio/audio_0241.wav
我想点播苏俹的《无名之辈》,music,/home/v2129375/dataset/tts_audio/audio_0242.wav
通辽市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0243.wav
我想看黑猫警长的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0244.wav
我想看电视剧赎罪者,video,/home/v2129375/dataset/tts_audio/audio_0245.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0246.wav
我想点播电视剧《花千骨》。,video,/home/v2129375/dataset/tts_audio/audio_0247.wav
怀化的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0248.wav
青岛今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0249.wav
牡丹江市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0250.wav
我想点播泰罗奥特曼,video,/home/v2129375/dataset/tts_audio/audio_0251.wav
我想听郭富城的《我爱你》,music,/home/v2129375/dataset/tts_audio/audio_0252.wav
萍乡市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0253.wav
南京今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0254.wav
黔西南州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0255.wav
巴音郭楞州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0256.wav
果洛州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0257.wav
我想点播陈芳语的音乐,music,/home/v2129375/dataset/tts_audio/audio_0258.wav
桂林市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0259.wav
晋城的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0260.wav
鄂州市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0261.wav
扬州今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0262.wav
我想点播朴树的《无题》,music,/home/v2129375/dataset/tts_audio/audio_0263.wav
苏州今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0264.wav
莫斯科的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0265.wav
我想点播陆墨妮的《我爱你》,music,/home/v2129375/dataset/tts_audio/audio_0266.wav
我想点播江音,music,/home/v2129375/dataset/tts_audio/audio_0267.wav
我想点播阎琰的音乐,music,/home/v2129375/dataset/tts_audio/audio_0268.wav
我想点播电视剧《爱情狂想曲》。,video,/home/v2129375/dataset/tts_audio/audio_0269.wav
我想点播林智文的音乐,music,/home/v2129375/dataset/tts_audio/audio_0270.wav
我想听癫狂收音机的音乐,music,/home/v2129375/dataset/tts_audio/audio_0271.wav
我想点播降央卓玛的音乐,music,/home/v2129375/dataset/tts_audio/audio_0272.wav
汕头市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0273.wav
我想点播李宗盛的音乐,music,/home/v2129375/dataset/tts_audio/audio_0274.wav
我想看后天的电视剧,video,/home/v2129375/dataset/tts_audio/audio_0275.wav
我想看下南洋的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0276.wav
我想点播黄家驹的音乐,music,/home/v2129375/dataset/tts_audio/audio_0277.wav
莱芜的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0278.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0279.wav
三沙的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0280.wav
我想点播窈窕美眉的音乐,music,/home/v2129375/dataset/tts_audio/audio_0281.wav
我想看电视剧杀死一只知更鸟,video,/home/v2129375/dataset/tts_audio/audio_0282.wav
自贡市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0283.wav
六安的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0284.wav
临夏的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0285.wav
襄樊市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0286.wav
我想看双重赔偿的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0287.wav
我想看电视剧惬意生活,video,/home/v2129375/dataset/tts_audio/audio_0288.wav
嘉义的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0289.wav
我想看电影阿甘正传,video,/home/v2129375/dataset/tts_audio/audio_0290.wav
湘西自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0291.wav
我想点播电视剧幸福满贯,video,/home/v2129375/dataset/tts_audio/audio_0292.wav
我想点播十二大美女的音乐,music,/home/v2129375/dataset/tts_audio/audio_0293.wav
我想点播电视剧《两只老虎》。,video,/home/v2129375/dataset/tts_audio/audio_0294.wav
我想看美味情缘的点播视频,video,/home/v2129375/dataset/tts_audio/audio_0295.wav
我想点播李宇春的《无言的爱》,music,/home/v2129375/dataset/tts_audio/audio_0296.wav
我想看《电击小子》,video,/home/v2129375/dataset/tts_audio/audio_0297.wav
赣州市的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0298.wav
邢台的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0299.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0300.wav
我想点播《千与千寻》,video,/home/v2129375/dataset/tts_audio/audio_0301.wav
内江市今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0302.wav
深圳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0303.wav
杭州市的天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0304.wav
我想点播张明敏的音乐,music,/home/v2129375/dataset/tts_audio/audio_0305.wav
中山市今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0306.wav
濮阳的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0307.wav
克孜勒苏州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0308.wav
我想点播圣以琳的音乐事工,music,/home/v2129375/dataset/tts_audio/audio_0309.wav
我想看《奇爱博士》,video,/home/v2129375/dataset/tts_audio/audio_0310.wav
杭州今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0311.wav
宁波今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0312.wav
我想点播电视剧《一日情深》。,video,/home/v2129375/dataset/tts_audio/audio_0313.wav
西双版纳傣族自治州的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0314.wav
我想看电视剧人再囧途,video,/home/v2129375/dataset/tts_audio/audio_0315.wav
我想点播陈娇的《我爱你》,music,/home/v2129375/dataset/tts_audio/audio_0316.wav
我想点播天佑的音乐,music,/home/v2129375/dataset/tts_audio/audio_0317.wav
重庆今天的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0318.wav
我想点播电视剧天仙配,video,/home/v2129375/dataset/tts_audio/audio_0319.wav
我想点播小臭臭,music,/home/v2129375/dataset/tts_audio/audio_0320.wav
台中天气如何？,city,/home/v2129375/dataset/tts_audio/audio_0321.wav
我想点播小毛驴的剧集,video,/home/v2129375/dataset/tts_audio/audio_0322.wav
我想看电视剧悲伤逆流成河,video,/home/v2129375/dataset/tts_audio/audio_0323.wav
楚雄的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0324.wav
阿姆斯特丹的天气怎么样？,city,/home/v2129375/dataset/tts_audio/audio_0325.wav
我想点播电视剧《爱探险的朵拉》。,video,/home/v2129375/dataset/tts_audio/audio_0326.wav
