manual_transcript,path,source
我想看电视剧三毛流浪记,/home/v2129375/dataset/tts_audio_diff_ref/audio_0026.wav,video
佛山的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0027.wav,city
南宁的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0028.wav,city
我想点播郑俊英的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0029.wav,music
我想点播电视剧《白雪公主》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0030.wav,video
我想点播林宥嘉的《无言的爱》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0031.wav,music
我想点播电视剧《小白兔》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0032.wav,video
我想看李茶的姑妈的点播视频,/home/v2129375/dataset/tts_audio_diff_ref/audio_0033.wav,video
我想点播罗时丰的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0034.wav,music
我想看黑山匪帮的点播视频,/home/v2129375/dataset/tts_audio_diff_ref/audio_0035.wav,video
我想看电视剧淡淡哀愁,/home/v2129375/dataset/tts_audio_diff_ref/audio_0036.wav,video
松原的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0037.wav,city
我想听德国战车的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0038.wav,music
海北州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0039.wav,city
扬州市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0040.wav,city
我想点播杨峻荣的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0041.wav,music
赣州市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0042.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0043.wav,city
惠州市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0044.wav,city
我想看陆军野战医院的点播视频,/home/v2129375/dataset/tts_audio_diff_ref/audio_0045.wav,video
日喀则市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0046.wav,city
我想看无名之辈的电影,/home/v2129375/dataset/tts_audio_diff_ref/audio_0047.wav,video
长春的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0048.wav,city
我想点播《速度与激情六》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0049.wav,video
我想点播吴倩莲的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0050.wav,music
我想听钟洁的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0051.wav,music
我想点播电视剧相依为命,/home/v2129375/dataset/tts_audio_diff_ref/audio_0052.wav,video
我想点播小二郎的电视剧,/home/v2129375/dataset/tts_audio_diff_ref/audio_0053.wav,video
我想点播电视剧《小花仙》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0054.wav,video
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0055.wav,city
我想看电视剧倚天屠龙记,/home/v2129375/dataset/tts_audio_diff_ref/audio_0056.wav,video
临沧市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0057.wav,city
我想点播芭比娃娃的电影。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0058.wav,video
六盘水市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0059.wav,city
我想点播电视剧西区故事,/home/v2129375/dataset/tts_audio_diff_ref/audio_0060.wav,video
池州市今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0061.wav,city
我想看电影《美人鱼》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0062.wav,video
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0063.wav,city
我想点播潘玮柏的弦子,/home/v2129375/dataset/tts_audio_diff_ref/audio_0064.wav,music
我想点播电视剧汪汪队立大功,/home/v2129375/dataset/tts_audio_diff_ref/audio_0065.wav,video
我想看电视剧女神有药,/home/v2129375/dataset/tts_audio_diff_ref/audio_0066.wav,video
巴彦淖尔市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0067.wav,city
昆明的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0068.wav,city
我想点播五轮真弓,/home/v2129375/dataset/tts_audio_diff_ref/audio_0069.wav,music
文山州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0070.wav,city
我想看城市之光的点播视频,/home/v2129375/dataset/tts_audio_diff_ref/audio_0071.wav,video
我想点播杨世瀚的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0072.wav,music
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0073.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0074.wav,city
怀化的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0075.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0076.wav,city
我想看张大千的纪录片,/home/v2129375/dataset/tts_audio_diff_ref/audio_0077.wav,video
我想看青蛙总动员的点播视频,/home/v2129375/dataset/tts_audio_diff_ref/audio_0078.wav,video
泰州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0079.wav,city
珠海今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0080.wav,city
德州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0081.wav,city
我想点播电视剧《天神之国》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0082.wav,video
自贡的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0083.wav,city
桃园市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0084.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0085.wav,city
黄南州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0086.wav,city
我想点播张德豪的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0087.wav,music
南京今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0088.wav,city
德州市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0089.wav,city
我想点播金京浩的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0090.wav,music
新竹天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0091.wav,city
九江的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0092.wav,city
我想点播田馥甄的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0093.wav,music
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0094.wav,city
我想看郑培民的电视剧,/home/v2129375/dataset/tts_audio_diff_ref/audio_0095.wav,video
我想点播电视剧阿唐奇遇,/home/v2129375/dataset/tts_audio_diff_ref/audio_0096.wav,video
我想看电视剧巴顿将军,/home/v2129375/dataset/tts_audio_diff_ref/audio_0097.wav,video
我想点播海贼王。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0098.wav,video
我想点播《万圣节》视频。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0099.wav,video
黔南布依族自治州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0100.wav,city
我想点播六仔的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0101.wav,music
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0102.wav,city
我想点播电视剧《爱的解脱》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0103.wav,video
武汉市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0104.wav,city
我想点播高原红,/home/v2129375/dataset/tts_audio_diff_ref/audio_0105.wav,music
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0106.wav,city
大阪的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0107.wav,city
庆阳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0108.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0109.wav,city
乌鲁木齐市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0110.wav,city
我想看电影血染,/home/v2129375/dataset/tts_audio_diff_ref/audio_0111.wav,video
珠海市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0112.wav,city
我想点播电视剧《公主》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0113.wav,video
晋中市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0114.wav,city
我想点播张碧晨的《无言的爱》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0115.wav,music
西宁的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0116.wav,city
我想点播秘密森林。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0117.wav,video
我想点播黄婉秋的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0118.wav,music
迪庆藏族自治州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0119.wav,city
我想点播悟空的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0120.wav,music
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0121.wav,city
宿州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0122.wav,city
我想听巴赫的圣诞序曲,/home/v2129375/dataset/tts_audio_diff_ref/audio_0123.wav,music
我想看电视剧手指运动,/home/v2129375/dataset/tts_audio_diff_ref/audio_0124.wav,video
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0125.wav,city
攀枝花天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0126.wav,city
我想点播彼得兔的电影。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0127.wav,video
我想点播五四零四五,/home/v2129375/dataset/tts_audio_diff_ref/audio_0128.wav,music
百色市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0129.wav,city
我想点播菜菜的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0130.wav,music
我想点播电视剧《摩登时代》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0131.wav,video
香港今天的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0132.wav,city
巴音郭楞蒙古自治州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0133.wav,city
我想点播电视剧《父子雄兵》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0134.wav,video
玉树自治州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0135.wav,city
我想看点播视频葫芦娃,/home/v2129375/dataset/tts_audio_diff_ref/audio_0136.wav,video
我想点播一零二二女声的音乐。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0137.wav,music
我想点播林俊杰怀秋,/home/v2129375/dataset/tts_audio_diff_ref/audio_0138.wav,music
我想点播电视剧与狼共舞,/home/v2129375/dataset/tts_audio_diff_ref/audio_0139.wav,video
我想点播高晓松的《我爱你》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0140.wav,music
黑河的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0141.wav,city
我想点播杨朗朗的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0142.wav,music
我想点播谭维维的《我爱你》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0143.wav,music
七台河市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0144.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0145.wav,city
南通今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0146.wav,city
我想点播屠洪刚的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0147.wav,music
我想点播贾乃亮的歌曲,/home/v2129375/dataset/tts_audio_diff_ref/audio_0148.wav,music
天水的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0149.wav,city
我想点播电视剧椰子革命,/home/v2129375/dataset/tts_audio_diff_ref/audio_0150.wav,video
我想点播电视剧聪明的一休,/home/v2129375/dataset/tts_audio_diff_ref/audio_0151.wav,video
亳州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0152.wav,city
我想点播郁可唯的《无言的爱》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0153.wav,music
我想点播蒋大为的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0154.wav,music
漳州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0155.wav,city
我想点播赵天鸽的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0156.wav,music
我想点播电视剧《巨人》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0157.wav,video
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0158.wav,city
我想点播昂贵的牙医的剧集,/home/v2129375/dataset/tts_audio_diff_ref/audio_0159.wav,video
江门市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0160.wav,city
西双版纳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0161.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0162.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0163.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0164.wav,city
我想看狂犬战神的点播视频,/home/v2129375/dataset/tts_audio_diff_ref/audio_0165.wav,video
我想看电视剧舌尖上的中国,/home/v2129375/dataset/tts_audio_diff_ref/audio_0166.wav,video
我想看电视剧关山飞渡,/home/v2129375/dataset/tts_audio_diff_ref/audio_0167.wav,video
石家庄市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0168.wav,city
我想看红色的电影,/home/v2129375/dataset/tts_audio_diff_ref/audio_0169.wav,video
许昌市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0170.wav,city
海口今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0171.wav,city
东京的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0172.wav,city
晋中天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0173.wav,city
吐鲁番的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0174.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0175.wav,city
我想点播邓丽君的《春风又绿江南岸》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0176.wav,music
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0177.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0178.wav,city
我想点播张宇的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0179.wav,music
邵阳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0180.wav,city
我想点播电视剧阿拉伯的劳伦斯,/home/v2129375/dataset/tts_audio_diff_ref/audio_0181.wav,video
我想看电视剧《法国贩毒网》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0182.wav,video
武汉的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0183.wav,city
我想点播宋祖英的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0184.wav,music
我想点播马爱媛的《爱之旅》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0185.wav,music
聊城今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0186.wav,city
随州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0187.wav,city
我想看电视剧好久不见,/home/v2129375/dataset/tts_audio_diff_ref/audio_0188.wav,video
淮安的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0189.wav,city
我想看点播视频消减,/home/v2129375/dataset/tts_audio_diff_ref/audio_0190.wav,video
我想点播简广易的《我爱你》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0191.wav,music
我想看电视剧伪装者,/home/v2129375/dataset/tts_audio_diff_ref/audio_0192.wav,video
湖州的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0193.wav,city
我想点播上官晓懿常闻迪的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0194.wav,music
张掖的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0195.wav,city
我想听冷血动物的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0196.wav,music
楚雄州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0197.wav,city
我想点播中国新歌声的电视剧,/home/v2129375/dataset/tts_audio_diff_ref/audio_0198.wav,video
保定市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0199.wav,city
我想看点播视频瓢虫雷迪,/home/v2129375/dataset/tts_audio_diff_ref/audio_0200.wav,video
柳州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0201.wav,city
我想点播孙楠的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0202.wav,music
连云港今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0203.wav,city
防城港的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0204.wav,city
阿坝自治州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0205.wav,city
我想点播电视剧午夜牛郎,/home/v2129375/dataset/tts_audio_diff_ref/audio_0206.wav,video
我想点播芭比公主的电影。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0207.wav,video
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0208.wav,city
我想点播豆子民的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0209.wav,music
阿勒泰的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0210.wav,city
我想看电视剧《我不是药神》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0211.wav,video
洛阳的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0212.wav,city
舟山市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0213.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0214.wav,city
我想看电视剧大头儿子小头爸爸围裙妈妈,/home/v2129375/dataset/tts_audio_diff_ref/audio_0215.wav,video
我想看电视剧宾虚,/home/v2129375/dataset/tts_audio_diff_ref/audio_0216.wav,video
平凉市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0217.wav,city
南昌的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0218.wav,city
我想看《欢乐喜剧人》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0219.wav,video
拉萨的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0220.wav,city
文山壮族苗族自治州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0221.wav,city
我想点播电视剧一路有你,/home/v2129375/dataset/tts_audio_diff_ref/audio_0222.wav,video
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0223.wav,city
我想点播魔幻陀螺,/home/v2129375/dataset/tts_audio_diff_ref/audio_0224.wav,video
我想点播刀郎的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0225.wav,music
贵阳的天气如何？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0226.wav,city
吐鲁番市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0227.wav,city
我想点播电视剧桃色公寓,/home/v2129375/dataset/tts_audio_diff_ref/audio_0228.wav,video
海南自治州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0229.wav,city
我想点播电视剧《胜利之歌》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0230.wav,video
湘西土家族自治州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0231.wav,city
我想看白白雪公主和七个小矮人。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0232.wav,video
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0233.wav,city
我想点播中国音乐之声,/home/v2129375/dataset/tts_audio_diff_ref/audio_0234.wav,video
黔东南州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0235.wav,city
我想点播老狼的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0236.wav,music
吉林市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0237.wav,city
保定的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0238.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0239.wav,city
辽宁省的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0240.wav,city
我想点播摔跤吧爸爸,/home/v2129375/dataset/tts_audio_diff_ref/audio_0241.wav,video
我想点播苏俹的《无名之辈》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0242.wav,music
通辽市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0243.wav,city
我想看黑猫警长的点播视频,/home/v2129375/dataset/tts_audio_diff_ref/audio_0244.wav,video
我想看电视剧赎罪者,/home/v2129375/dataset/tts_audio_diff_ref/audio_0245.wav,video
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0246.wav,city
我想点播电视剧《花千骨》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0247.wav,video
怀化的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0248.wav,city
青岛今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0249.wav,city
牡丹江市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0250.wav,city
我想点播泰罗奥特曼,/home/v2129375/dataset/tts_audio_diff_ref/audio_0251.wav,video
我想听郭富城的《我爱你》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0252.wav,music
萍乡市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0253.wav,city
南京今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0254.wav,city
黔西南州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0255.wav,city
巴音郭楞州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0256.wav,city
果洛州的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0257.wav,city
我想点播陈芳语的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0258.wav,music
桂林市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0259.wav,city
晋城的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0260.wav,city
鄂州市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0261.wav,city
扬州今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0262.wav,city
我想点播朴树的《无题》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0263.wav,music
苏州今天的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0264.wav,city
莫斯科的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0265.wav,city
我想点播陆墨妮的《我爱你》,/home/v2129375/dataset/tts_audio_diff_ref/audio_0266.wav,music
我想点播江音,/home/v2129375/dataset/tts_audio_diff_ref/audio_0267.wav,music
我想点播阎琰的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0268.wav,music
我想点播电视剧《爱情狂想曲》。,/home/v2129375/dataset/tts_audio_diff_ref/audio_0269.wav,video
我想点播林智文的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0270.wav,music
我想听癫狂收音机的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0271.wav,music
我想点播降央卓玛的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0272.wav,music
汕头市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0273.wav,city
我想点播李宗盛的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0274.wav,music
我想看后天的电视剧,/home/v2129375/dataset/tts_audio_diff_ref/audio_0275.wav,video
我想看下南洋的点播视频,/home/v2129375/dataset/tts_audio_diff_ref/audio_0276.wav,video
我想点播黄家驹的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0277.wav,music
莱芜的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0278.wav,city
深圳的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0279.wav,city
三沙的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0280.wav,city
我想点播窈窕美眉的音乐,/home/v2129375/dataset/tts_audio_diff_ref/audio_0281.wav,music
我想看电视剧杀死一只知更鸟,/home/v2129375/dataset/tts_audio_diff_ref/audio_0282.wav,video
自贡市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0283.wav,city
六安的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0284.wav,city
临夏的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0285.wav,city
襄樊市的天气怎么样？,/home/v2129375/dataset/tts_audio_diff_ref/audio_0286.wav,city
